Company_ID,Account_Segment,Debit_Value,Credit_Value,Procurement_Waste_Tons,Financial_Narrative,ESG_Disclosure,Cyber_Disclosure,ERPNext_Source_Path,ERPNext_Artifact_Type,ERPNext_Detected_Keywords
Global_Enterprise_100,2000 Liabilities,967623.2911760381,967623.2911760381,26.09151863314489,Revenue recognized through normal channels matching invoice schedules flawlessly.,Scope 1 emissions lowered by 14% through continuous solar infrastructure integration.,Perimeter logging metrics confirm zero security bypass actions or identity theft instances.,banking/README.md,ERPNext documentation artifact,"bank, banking"
Global_Enterprise_101,2000 Liabilities,2379250.050704295,2379250.050704295,39.987857940346835,Period-end financial close operations executed in accordance with IFRS frameworks.,Corporate inclusion goals hit target thresholds across operational manufacturing plants.,Enterprise access points migrated securely to multi-factor zero-trust validation models.,banking/package.json,ERPNext JSON DocType/configuration artifact,"bank, banking"
Global_Enterprise_102,1000 Assets,1843385.1574379425,1843385.1574379425,65.34698963770735,Standard amortization of intangible patent portfolios calculated across linear schedules.,Waste management protocols met all municipal environmental safety compliance rules.,Phishing testing exercises achieved exceptional compliance values among ledger accountants.,banking/tsconfig.app.json,ERPNext JSON DocType/configuration artifact,"bank, banking"
Global_Enterprise_103,1000 Assets,1516713.2862827396,2047562.9364816986,54.673677143843314,Special batch ledger adjustments committed via root administrative bypass authorization.,Supply chain validation audit verified zero exposure to child labor vectors.,Database schemas for customer records encrypted via standard cryptographic layers.,banking/tsconfig.json,ERPNext JSON DocType/configuration artifact,"bank, banking"
Global_Enterprise_104,2000 Liabilities,432245.6690839695,432245.6690839695,38.49135112277482,Fixed asset reconciliation completed successfully against factory logistics tracking indices.,Corporate literature states our factory operation has achieved a net-zero impact framework instantly.,Critical ERP patch updates delayed due to legacy hardware optimization blocks.,banking/tsconfig.node.json,ERPNext JSON DocType/configuration artifact,"bank, banking"
Global_Enterprise_105,4000 Revenue,432186.57482369646,432186.57482369646,75.36308289307364,Accounts receivable collections traced back securely to third-party merchant processor accounts.,Board restructuring enhanced transparency via addition of two independent monitoring leads.,Regular perimeter scanning validated effective isolation of payment gateway components.,erpnext/accounts/README.md,ERPNext documentation artifact,"account, accounts"
Global_Enterprise_106,5000 Expenses,192304.84981208868,192304.84981208868,21.04179397498481,Routine accrual adjustments for utility overhead metrics performed under corporate supervision.,Strategic sourcing pipelines verified that 80% of primary components use recycled compounds.,Identity permission vectors verified strictly via role-based access control paradigms.,erpnext/accounts/__init__.py,ERPNext Python business logic/test artifact,"account, accounts"
Global_Enterprise_107,1000 Assets,2172131.557148591,2172131.557148591,38.596634581550084,Tax provision balancing entry executed following verified regional updates.,Employee training hours on compliance topics expanded by 25% year-over-year.,Disaster recovery backups generated nightly and mirrored to cloud locations.,erpnext/accounts/accounts_dashboard/accounts/accounts.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
Global_Enterprise_108,5000 Expenses,1522731.7787708617,913639.0672625169,47.131611978774544,Suspense account balancing clearing entry committed without secondary supervisory sign-off.,Water remediation investments completed across processing facility footprints.,Incident containment runbooks tested and approved by independent external panels.,erpnext/accounts/accounts_dashboard/payments/payments.json,ERPNext JSON DocType/configuration artifact,"account, accounts, payment"
Global_Enterprise_109,4000 Revenue,1784777.8156003114,1784777.8156003114,57.448048184959134,Foreign exchange translation calculation matching real-time valuation windows.,Donation and lobbying records published completely online to ensure corporate accountability.,Network load monitors confirmed normal performance metrics throughout this cycle.,erpnext/accounts/custom/address.py,ERPNext Python business logic/test artifact,"account, accounts"
Global_Enterprise_110,4000 Revenue,100432.01102471599,100432.01102471599,95.29523556019656,Deferred revenue segments released systematically following completion of client milestones.,Workplace protection metrics registered zero high-severity incidents for this cycle.,Endpoint configuration auditing tools confirmed clean operation for core accounting infrastructure.,erpnext/accounts/dashboard_chart/accounts_payable_ageing/accounts_payable_ageing.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
Global_Enterprise_111,4000 Revenue,2426279.1377968863,2426279.1377968863,27.96248494821137,Intercompany balance netting process finalized across standard regional ledgers.,Sustainable sourcing guidelines formalized across all tier-one logistics providers.,Third-party system risk management protocols updated to include vendor tracking arrays.,erpnext/accounts/dashboard_chart/accounts_receivable_ageing/accounts_receivable_ageing.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
Global_Enterprise_112,1000 Assets,2089484.4699610332,2089484.4699610332,450.0,Provisions for inventory obsolescence written down according to warehouse audits.,Public report affirms absolute ecological care while heavy localized waste spikes continue.,Minor firewall policy adjustments completed to isolate development testbeds.,erpnext/accounts/dashboard_chart/bank_balance/bank_balance.json,ERPNext JSON DocType/configuration artifact,"account, accounts, bank"
Global_Enterprise_113,4000 Revenue,570230.8211617765,570230.8211617765,73.12767541913489,Prepaid operating lease allocations systematically distributed to local business accounts.,Community engagement initiatives deployed across new infrastructure building sites.,Access key rotation matrices executed across production database instances.,erpnext/accounts/dashboard_chart/budget_variance/budget_variance.json,ERPNext JSON DocType/configuration artifact,"account, accounts"
Global_Enterprise_114,1000 Assets,495471.1696573965,495471.1696573965,10.34179746279974,Minor adjustment to payroll expense variances matching labor output reports.,Data privacy protection standards updated to enforce global regulatory compliance.,Data governance rules updated to meet evolving multi-regional security rules.,erpnext/accounts/dashboard_chart/incoming_bills_(purchase_invoice)/incoming_bills_(purchase_invoice).json,ERPNext JSON DocType/configuration artifact,"account, accounts, invoice, purchase_invoice"
